scenario,state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
low,South Carolina,SC,45,5118425,0.055,0.058158284541000915,0.886841715458999,0.26,0.7912,1.0,0.39523171116800904,0.592313708704704,0.337220814737398,0.32820607838087507,0.4316824606797179,0.297574299162696
low,South Dakota,SD,46,886667,0.04,0.04507849720262359,0.9149215027973764,0.025,0.7176,1.08,0.5164964749393638,0.7707194096121195,0.44264980145141547,0.4289060764796133,0.5617058095152895,0.39060816736352993
low,Tennessee,TN,47,6910840,0.055,0.058158284541000915,0.886841715458999,0.165,0.9568000000000001,1.0,0.5501933926828237,0.8242621562884849,0.46960568671443664,0.4568884800003739,0.600728145647522,0.4143948920107022
low,Texas,TX,48,29145505,0.17,0.14344340092170968,0.6865565990782903,0.12,0.6256,1.08,0.29534937553495205,0.4533397881806936,0.24567795342590976,0.24526235511340508,0.3303972749741453,0.21679398665640226
low,Utah,UT,49,3271616,0.09,0.08624132967542593,0.8237586703245741,0.015,0.6624,1.18,0.44774530150867486,0.6750468583551181,0.3796470061633341,0.3718141165529012,0.4919789709512359,0.3350125106489788
low,Vermont,VT,50,643077,0.045,0.049532636765459374,0.9054673632345406,0.014,1.0856,0.9,0.748942844469219,1.0,0.6409233802386523,0.6219328737267483,0.815657822652198,0.5655710364142947
low,Virginia,VA,51,8631393,0.125,0.11216295608837634,0.7628370439116237,0.19,0.7912,0.98,0.3649915959869147,0.5551372524530986,0.30661549380339126,0.3030942532592468,0.404587993882486,0.2705671971999107
low,Washington,WA,53,7705281,0.145,0.1263036316409768,0.7286963683590232,0.04,0.6256,0.92,0.3423144942546063,0.5217616281700889,0.2869073631286962,0.28426286291708563,0.38026360056611536,0.2531761201458559
low,West Virginia,WV,54,1793716,0.018,0.023797944119408086,0.9582020558805919,0.035,1.0856,0.98,0.7858730818727079,1.0,0.6780212740482181,0.6526002722410376,0.8490903579576696,0.5983073897719317
low,Wisconsin,WI,55,5893718,0.055,0.058158284541000915,0.886841715458999,0.065,0.9384,0.95,0.6063655428168913,0.9081633038839718,0.5176989526061645,0.5035346386682624,0.6618759011622076,0.4568339090189515
low,Wyoming,WY,56,576851,0.035,0.04051127126704603,0.924488728732954,0.01,0.6624,1.05,0.4857591624297916,0.7237922791067553,0.416932941684618,0.4033813715693696,0.5275049816913073,0.3679147979529572
central,Alabama,AL,01,5024279,0.037,0.04858452138288944,0.9144154786171105,0.26,0.94,1.03,0.5037657892602135,0.7876083134756221,0.45668471853509784,0.40889929019133264,0.5362883370132732,0.37182789940968275
central,Alaska,AK,02,733391,0.08,0.08335270778022749,0.8366472922197725,0.03,0.48,1.07,0.3229391609117279,0.5091792589930426,0.2901994726751732,0.2621249725307997,0.3467039305895816,0.23627736150386308
central,Arizona,AZ,04,7151502,0.135,0.120223774793981,0.744776225206019,0.05,0.62,1.06,0.36213335953419057,0.5765372552409241,0.3220986179896851,0.2939383277407241,0.39256848937377575,0.2622493104521562
central,Arkansas,AR,05,3011524,0.05,0.059984041693027505,0.8900159583069724,0.15,1.02,1.04,0.6217679347315139,0.9753312065730896,0.5617270640930093,0.5046798980708918,0.6641102459952907,0.45735227347490015
central,California,CA,06,39538223,0.267,0.19378252248673494,0.539217477513265,0.055,0.48,0.96,0.19660890668684142,0.32193889308225343,0.16954120418384733,0.15958456112631608,0.2192105779446163,0.13803866706396747
central,Colorado,CO,08,5773714,0.1,0.09744436321658786,0.8025556367834121,0.04,0.78,0.98,0.4871093089801419,0.7707281332590676,0.4361123789323898,0.39537946985258154,0.5247944972176112,0.35507811666031824
