year,geo,state_fips,abbr,name,total_population,black_alone,aian_alone,black_alone_share,aian_alone_share,dataset,total_variable,black_variable,aian_variable,retrieved_at_utc
2000,us,00,US,United States,281421906,211460626,34658190,0.7514007313986424,0.12315384574220033,dec/sf1,P001001,P003003,P003004,2026-06-22T13:44:10+00:00
2010,us,00,US,United States,308745538,38929319,2932248,0.12608868536911455,0.009497296767411097,dec/sf1,P001001,P003003,P003004,2026-06-22T13:44:11+00:00
2020,us,00,US,United States,331449281,41104200,3727135,0.12401354402093272,0.011244963298019646,dec/pl,P1_001N,P1_004N,P1_005N,2026-06-22T13:44:12+00:00
