Ireland,country,Europe,Northern & Western Europe,51617,170672,656145,1029486,427419,422264,674061,405710,344940,166445,201644,28195,15701,47189,37788,11461,22210,65384,15642,1610,1533,1694,1765,1721,1798,1895,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Italy,country,Europe,Southern Europe,430,2225,1476,8643,9853,46296,267660,603761,1930475,1229916,528133,85053,50509,189061,200111,150031,55562,75992,28329,2956,2670,2946,3233,3647,3829,4385,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Netherlands,country,Europe,Northern & Western Europe,1105,1377,7624,11122,8387,14267,52715,29349,42463,46065,29397,7791,13877,46703,37918,10373,11234,13345,17351,1520,1258,1294,1376,1373,1505,1550,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Norway-Sweden,country,Europe,Northern & Western Europe,91,1149,12389,22202,82937,178823,586441,334058,426981,192445,170329,13452,17326,44231,36150,10298,13941,17825,19382,1662,1530,1441,1665,1479,1551,1729,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Norway,country,Europe,,0,0,0,0,0,88644,185111,96810,182542,79488,70327,6901,8326,22813,17371,3927,3835,5211,4599,363,405,314,389,332,357,404,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Sweden,country,Europe,,0,0,0,0,0,90179,401330,237248,244439,112957,100002,6551,9000,21418,18779,6371,10106,12614,14783,1299,1125,1127,1276,1147,1194,1325,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Poland,country,Europe,Eastern Europe,19,366,105,1087,1886,11016,42910,107793,0,0,224420,26460,7774,6498,55773,33699,63483,172249,117921,7391,6634,6024,6073,5437,4921,5287,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Portugal,country,Europe,Southern Europe,252,896,359,4218,4741,13990,15189,25874,65154,82489,44829,3518,6765,13928,70568,104754,42685,25497,11479,759,878,837,917,920,869,1017,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Romania,country,Europe,Eastern Europe,0,0,0,0,0,0,5842,6808,57322,13566,67810,5264,1254,914,2339,10774,24753,48136,52154,3735,3679,3477,3475,3022,3160,3322,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Russia,country,Europe,Eastern Europe,86,280,520,423,1667,34977,173081,413382,1501301,1106998,61604,2473,605,453,2329,28132,33311,433427,167152,7502,8548,10114,10154,9455,9030,9280,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Spain,country,Europe,Southern Europe,2866,2016,1917,8803,6970,5571,3999,9189,24818,53262,47109,3669,2774,6880,40793,41718,22783,18443,17695,2040,2319,2316,2970,3341,3707,4018,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Switzerland,country,Europe,Northern & Western Europe,3148,4430,4819,24423,21124,25212,81151,37020,32541,22839,31772,5990,9904,17577,19193,8536,8316,11768,12173,868,861,916,1040,888,1007,1090,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
United Kingdom,country,Europe,Northern & Western Europe,26336,74350,218572,445322,532956,578447,810900,328759,469518,371878,342762,61813,131794,195709,220213,133218,153644,156182,171979,14781,13443,13938,15321,14395,14653,14887,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Yugoslavia,country,Europe,Eastern Europe,0,0,0,0,0,0,0,0,0,0,49215,6920,2039,6966,17990,31862,16267,57039,131831,4772,4611,4488,4445,4321,4721,5392,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Other Europe,country,Europe,Eastern Europe,3,40,79,14,10,626,1070,145,514,6527,21330,9068,5387,7231,6814,5242,3447,29087,290871,22608,20316,16865,17839,17684,19083,22785,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
